"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"6960","Escherichia","coli","AMP","=","2","S","PNUSAE009384"
"6961","Escherichia","coli","AMP","=","4","S","PNUSAE012147"
"6962","Escherichia","coli","AMP","=","2","S","PNUSAE009861"
"6964","Escherichia","coli","AMP","=","2","S","PNUSAE010824"
"6966","Escherichia","coli","AMP","=","2","S","PNUSAE011663"
"6970","Escherichia","coli","AMP","=","2","S","PNUSAE011110"
"6975","Escherichia","coli","AMP","=","4","S","PNUSAE010837"
"6977","Escherichia","coli","AMP","=","2","S","PNUSAE011183"
"6980","Escherichia","coli","AMP","=","2","S","PNUSAE009996"
"6981","Escherichia","coli","AMP","=","2","S","PNUSAE011767"
"6982","Escherichia","coli","AMP","=","2","S","PNUSAE010823"
"6983","Escherichia","coli","AMP","=","2","S","PNUSAE014232"
"6984","Escherichia","coli","AMP","=","4","S","PNUSAE010649"
"6985","Escherichia","coli","AMP","=","4","S","PNUSAE012124"
"6989","Escherichia","coli","AMP","=","2","S","PNUSAE012243"
"6990","Escherichia","coli","AMP","=","2","S","PNUSAE011985"
"6991","Escherichia","coli","AMP","=","2","S","PNUSAE012266"
"6995","Escherichia","coli","AMP","=","4","S","PNUSAE011282"
"6996","Escherichia","coli","AMP","=","2","S","PNUSAE010849"
"6998","Escherichia","coli","AMP","=","4","S","PNUSAE012606"
"7004","Escherichia","coli","AMP","=","2","S","PNUSAE010691"
"7007","Escherichia","coli","AMP","=","4","S","PNUSAE011160"
"7008","Escherichia","coli","AMP","=","2","S","PNUSAE011161"
"7011","Escherichia","coli","AMP","=","2","S","PNUSAE013109"
"7022","Escherichia","coli","AMP","=","2","S","PNUSAE014269"
"7023","Escherichia","coli","AMP","=","2","S","PNUSAE013038"
"7033","Escherichia","coli","AMP","=","2","S","PNUSAE012191"
"7034","Escherichia","coli","AMP","=","2","S","PNUSAE012184"
"7054","Escherichia","coli","AMP","=","4","S","PNUSAE013621"
"7064","Escherichia","coli","AMP","=","2","S","PNUSAE013279"
